Wigan,Charlton,3-0
Arsenal,Chelsea,0-2
Middlesbrough,Tottenham,3-3
Aston Villa,Everton,4-0
Charlton,Arsenal,0-1
Chelsea,Fulham,3-2
Liverpool,Newcastle,2-0
Man United,West Brom,3-0
Middlesbrough,Blackburn,0-2
Portsmouth,West Ham,1-1
Sunderland,Bolton,0-0
Tottenham,Birmingham,2-0
Wigan,Man City,4-3
Arsenal,Portsmouth,4-0
Birmingham,Man United,2-2
Everton,Liverpool,1-3
Fulham,Aston Villa,3-3
Man City,Chelsea,0-1
West Brom,Tottenham,2-0
West Ham,Wigan,0-2
Aston Villa,Arsenal,0-0
Charlton,West Ham,2-0
Chelsea,Birmingham,2-0
Liverpool,West Brom,1-0
Man United,Bolton,4-1
Middlesbrough,Man City,0-0
Portsmouth,Fulham,1-0
Sunderland,Everton,0-1
Tottenham,Newcastle,2-0
Wigan,Blackburn,0-3
Birmingham,Wigan,2-0
Blackburn,Portsmouth,2-1
Bolton,Liverpool,2-2
Everton,Charlton,3-1
Fulham,Sunderland,2-1
Newcastle,Middlesbrough,2-2
West Brom,Aston Villa,1-2
West Ham,Chelsea,1-3
Arsenal,Man United,0-0
Man City,Tottenham,0-2
Arsenal,Middlesbrough,7-0
Aston Villa,West Ham,1-2
Blackburn,Bolton,0-0
Charlton,Birmingham,2-0
Fulham,Newcastle,1-0
Liverpool,Tottenham,1-0
Man City,Man United,3-1
Portsmouth,Everton,0-1
Sunderland,Chelsea,1-2
Wigan,West Brom,0-1
Birmingham,Portsmouth,5-0
Bolton,Man City,2-0
Everton,Arsenal,1-0
Middlesbrough,Wigan,2-3
Newcastle,Blackburn,0-1
Tottenham,Aston Villa,0-0
West Brom,Sunderland,0-1
Chelsea,Charlton,1-1
Man United,Liverpool,1-0
West Ham,Fulham,2-1
Charlton,West Brom,0-0
Fulham,Tottenham,1-0
Sunderland,Middlesbrough,0-3
Wigan,Everton,1-1
Arsenal,West Ham,2-3
Aston Villa,Chelsea,1-1
Blackburn,Man United,4-3
Liverpool,Birmingham,1-1
Man City,Newcastle,3-0
Portsmouth,Bolton,1-1
Birmingham,Arsenal,0-2
Bolton,Wigan,1-1
Everton,Man City,1-0
Man United,Fulham,4-2
Middlesbrough,Aston Villa,0-4
Newcastle,Portsmouth,2-0
West Brom,Blackburn,2-0
West Ham,Sunderland,2-0
Chelsea,Liverpool,2-0
Tottenham,Charlton,3-1
Charlton,Liverpool,2-0
Arsenal,Bolton,1-1
Aston Villa,Newcastle,1-2
Everton,Blackburn,1-0
Fulham,West Brom,6-1
Middlesbrough,Chelsea,3-0
Portsmouth,Man United,1-3
Wigan,Liverpool,0-1
Man City,Charlton,3-2
Sunderland,Tottenham,1-1
West Ham,Birmingham,3-0
Liverpool,Arsenal,1-0
Blackburn,Sunderland,2-0
Tottenham,Wigan,2-2
Newcastle,Charlton,0-0
Birmingham,Sunderland,1-0
Blackburn,Arsenal,1-0
Charlton,Aston Villa,0-0
Chelsea,Portsmouth,2-0
Newcastle,Everton,2-0
Bolton,Fulham,2-1
Liverpool,Man City,1-0
West Brom,Middlesbrough,0-2
Aston Villa,Portsmouth,1-0
Fulham,Arsenal,0-4
Liverpool,Charlton,0-0
Middlesbrough,Birmingham,1-0
Newcastle,Bolton,3-1
West Brom,Chelsea,1-2
West Ham,Everton,2-2
Man City,Sunderland,2-1
Tottenham,Blackburn,3-2
Wigan,Man United,1-2
Birmingham,West Brom,1-1
Blackburn,Aston Villa,2-0
Bolton,West Ham,4-1
Chelsea,Tottenham,2-1
Everton,Fulham,3-1
Portsmouth,Man City,2-1
Sunderland,Wigan,0-1
Arsenal,Liverpool,2-1
Charlton,Middlesbrough,2-1
Man United,Newcastle,2-0
Liverpool,Fulham,5-1
Arsenal,Charlton,3-0
Birmingham,Tottenham,0-2
Blackburn,Middlesbrough,3-2
Bolton,Sunderland,2-0
Everton,Aston Villa,4-1
Man City,Wigan,0-1
West Brom,Man United,1-2
West Ham,Portsmouth,2-4
Fulham,Chelsea,1-0
Newcastle,Liverpool,1-3
Aston Villa,Fulham,0-0
Chelsea,Man City,2-0
Liverpool,Everton,3-1
Sunderland,Blackburn,0-1
Wigan,West Ham,1-2
Charlton,Newcastle,3-1
Man United,Birmingham,3-0
Middlesbrough,Bolton,4-3
Tottenham,West Brom,2-1
Man United,West Ham,1-0
Arsenal,Aston Villa,5-0
Birmingham,Chelsea,0-0
Bolton,Man United,1-2
Everton,Sunderland,2-2
Fulham,Portsmouth,1-3
Newcastle,Tottenham,3-1
West Brom,Liverpool,0-2
Man City,Middlesbrough,0-1
West Ham,Charlton,0-0
Blackburn,Wigan,1-1
Birmingham,Bolton,1-0
Charlton,Everton,0-0
