Levante,Sociedad,2-0
Mallorca,Ath Madrid,0-0
Ath Bilbao,Santander,0-0
Espanol,Valencia,1-1
Real Madrid,Celta,1-2
Recreativo,Gimnastic,2-1
Sevilla,Osasuna,2-0
Villarreal,Betis,3-2
Zaragoza,Getafe,3-1
Ath Madrid,Villarreal,3-1
Valencia,Ath Bilbao,1-1
Barcelona,Zaragoza,3-1
Betis,Levante,2-1
Celta,Recreativo,1-2
Getafe,Mallorca,1-0
Gimnastic,La Coruna,0-0
Osasuna,Real Madrid,1-4
Santander,Sevilla,0-0
Sociedad,Espanol,1-1
Real Madrid,Santander,3-1
Sevilla,Valencia,3-0
Espanol,Ath Bilbao,3-2
La Coruna,Celta,0-1
Levante,Ath Madrid,0-3
Mallorca,Barcelona,1-4
Recreativo,Osasuna,2-0
Sociedad,Betis,0-0
Villarreal,Getafe,1-0
Zaragoza,Gimnastic,3-0
Ath Madrid,Sociedad,1-1
Barcelona,Villarreal,4-0
Ath Bilbao,Sevilla,1-3
Betis,Espanol,1-1
Celta,Zaragoza,1-1
Getafe,Levante,0-0
Gimnastic,Mallorca,2-3
Osasuna,La Coruna,4-1
Santander,Recreativo,4-3
Valencia,Real Madrid,0-1
Betis,Ath Madrid,0-1
Levante,Barcelona,1-1
Recreativo,Valencia,2-0
Espanol,Sevilla,2-1
La Coruna,Santander,0-0
Mallorca,Celta,2-2
Real Madrid,Ath Bilbao,2-1
Sociedad,Getafe,0-0
Villarreal,Gimnastic,2-0
Zaragoza,Osasuna,1-2
Barcelona,Sociedad,1-0
Sevilla,Real Madrid,2-1
Ath Bilbao,Recreativo,4-2
Ath Madrid,Espanol,1-2
Celta,Villarreal,1-1
Getafe,Betis,1-1
Gimnastic,Levante,2-1
Osasuna,Mallorca,3-0
